Duration (secs),finished,source,location,time,date,agrees to participate,online survey referral,FREE FORM website referral,FREE FORM poster referral,FREE FORM other referral,fam_eat_fish,resp_eat_fish,eats Flathead Catfish,eats Bowfin (Blackfish),eats Blue Catfish,eats Channel Catfish,eats White Catfish,eats American Shad,eats Bluegill,eats Redbreast Sunfish,eats White Crappie,eats Striped Bass,eats Carp,eats Black Crappie,eats Warmouth,eats Green Sunfish,eats Largemouth Bass,eats Redear Sunfish,eats Hickory Shad,FREE FORM other fish,shares fish with others,number of people <15 ,number of fem 15-44,portions in a meal,meals per month,fish use other than eating,FREE FORM other use,cooking methods,FREE FORM cooking,preparation methods,FREE FORM preparation,parts eaten,pollution concerns,FREE FORM pollution concerns,FREE FORM no pollution concerns,sources of information,FREE FORM bait and tackle shops,FREE FORM news sources,FREE FORM internet sources,FREE FORM schools,FREE FORM government sources,FREE FORM sign sources,FREE FORM other sources,FREE FORM best sources,seen fish advisories,fish advisories easy to understand,fish advisories affect decision,FREE FORM affected decision,FREE FORM did not affect decision,health information sources,FREE FORM internet health sources,FREE FORM other health sources,FREE FORM fishing locations,wallet card takeaway,FREE FORM other takeaway,wallet card useful,FREE FORM wallet card useful,FREE FORM wallet card not useful,FREE FORM improve wallet card,can fillet,magnet main message,FREE FORM other takeaway,magnet useful,FREE FORM magnet useful,FREE FORM magnet not useful,FREE FORM improve magnet,would eat fewer polluted fish,would eat more lower pollution fish,would fillet fish,would buy fish from market,would grill or bake rather than fry,would stop eating fish,FREE FORM other risk reduction option,FREE FORM eat less polluted fish,FREE FORM eat more fish with lower pollution,FREE FORM fillet fish,FREE FORM grocery store fish,FREE FORM other cooking methods,FREE FORM stop eating fish,age,gender,educ,language,FREE FORM last comments
34,TRUE,online,online,10:49,3/20/20,Yes,"Website (if so, which website?)",cape fear river watch,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,speckled trout,Yes,0,1 to 3,About 1 portion,1-3 meals,,,"Grilled,Fried,Baked,Smoked",,"Remove scales,Remove fat,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat,Abdomen Meat",Yes,I had kidney cancer at age 39. I ,,"Family or Friends,Bait and Fishing Shops,News ,Internet ,Government ,Signs and Posters ",tex's tackle,wilmington newspaper,NC wildlife resources commission,,state,boat ramps,,"newspaper, bait shops, NC wildlife resources comm",Yes,Yes,Yes,,,Other,,physician,,Some fish may have more contaminants than others,,Yes,fits in wallet,,,Yes,,,,,,,Probably not do,Probably will do,Definitely will do,Definitely not do,Probably not do,Definitely not do,,i don't like eating those types of fish,i like to eat speckled trout,i always fillet and skin the fish i catch,i only like fresh fish,i like all cooking methods,i enjoy fishing,60 or older,Male,Bachelor degree,english,keep up the good work. GO HEELS!!!
39,TRUE,online,online,10:50,3/20/20,Yes,Other (explain):,,,email,Yes,Yes,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,No,,,About 1 portion,1-3 meals,,,"Grilled,Fried",,Fillet (only meat with no fat skin or bones),,"Back Meat,Tail Meat,Abdomen Meat",Yes,heavy metal content,,Internet ,,,,,,,,,Yes,Yes,Yes,,,Internet ,Pub med,,,Some fish may have more contaminants than others,,No,,,less small writing and use larger font for main points on types of fish okay vs not okay. ,Yes,,,,,,,,,,,,,,,,,,,,30-39,Male,Graduate degree,english,
37,TRUE,online,online,10:51,3/20/20,Yes,"Website (if so, which website?)",Cape Fear Riverwatch Facebook page,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Flounder, Speckled Trout, Redfish, Tripletail, Black Drum, Whiting",Yes,0,1 to 3,About 1 portion,7-9 meals,,,"Grilled,Fried,Baked",,Fillet (only meat with no fat skin or bones),,"Back Meat,Tail Meat,Abdomen Meat",Yes,Effect of pollutants/hurricanes/runoff on fish meat,,"Family or Friends,Other people that are fishing,News ,Government ",,"local (wect, wway)",,,"marine fisheries, noaa, samfc",,,"Flyers in tackle shops or sporting goods depts, informational sponsored ads online geared towards fishermen, commercials on local tv / radio, spokesman present at educational seminars/boat shows/fishing clubs around the state   ",No,,,,,,,,,"Some fish may have more contaminants than others,Some fish are safer to eat than others,Pregnant women and women between age 15-44 should not eat fish that may have mercury",,Yes,If they are interested in food safety they would check the cards.  If they are not interested in water quality and its effects then they aren't going to have this wallet card.,,The wallet card with the 'safe fish to eat' message was the clearest & most direct to me (card that is lower left in the pics above).  It got my attention and told which were the safest.,Yes,,,,,,,Probably will do,Probably will do,Probably will do,Neutral,Probably will do,Definitely not do,,,,,"Our local grocery stores don't sell local caught fish. It's mostly foreign. If we want fresh local fish, the local seafood markets are usually too expensive. It's cheaper to catch your own.",,We have not been sickened by fish we've caught and ate.  ,30-39,Female,Bachelor degree,English,
56,TRUE,online,online,10:52,3/20/20,Yes,Other (explain):,,,A friend share the link in FB,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,On,Off,Puffer fish,Yes,1 to 3,1 to 3,About 5 portions,1-3 meals,,,"Fried,Steamed",,"Remove scales,Remove fish organs",,"Back Meat,Tail Meat,Abdomen Meat,Belly Meat",No,,I ignore if is pollution on the river,Other ,,,,,,,Never have this kind of information,"Stores, at the public ramps all Wilmington schools no just around the river",No,,,,,,,,,Some fish are safer to eat than others,,Yes,If those are with chemicals and contamination is probably,,To have the reference on hand,No,It is healthier to fillet a fish before eating it,,Yes. Why?,Is a better option for my helath,,,,,,,,,,,,,,,,,,,,
95,TRUE,online,online,10:54,3/20/20,Yes,"Website (if so, which website?)",Cape Fear River Watch  2/19/2020 20:31,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,blue crab,Yes,0,1 to 3,About 1 portion,1-3 meals,,,"Grilled,Baked,Boiled",,Fillet (only meat with no fat skin or bones),,"Back Meat,Tail Meat,Abdomen Meat,Belly Meat",Yes,mercury ,,"Bait and Fishing Shops ,Government ,Signs and Posters ",all I visit,,,,"north carolina public health and DEQ website, EPA",all posted signage,,"Churches, community events.",Yes,Yes,Yes,Yes.  I always follow those guidelines,,Internet ,Government Websites - I used EPA website a lot but there is not much information there anymore.  I use the NC public health website now most often,,,"Some fish may have more contaminants than others,Some fish are safer to eat than others,Pregnant women and women between age 15-44 should not eat fish that may have mercury",,Yes,I have one for ticks so I would use this one too.,,,Yes,,,,,,,Probably will do,Probably will do,Probably will do,Probably not do,Probably will do,Probably will do,,,,,,,,50-59,Male,Graduate degree,English,Yikes!
5395,FALSE,online,online,23:07,3/25/20,Yes,Other (explain):,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,"Yes, I share it with others",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5592,FALSE,online,online,20:41,3/26/20,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,FALSE,online,online,18:21,4/8/20,Yes,"Website (if so, which website?)",,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,FALSE,online,online,12:05,4/17/20,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,FALSE,online,online,9:45,4/19/20,Yes,Other (explain):,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,"No, I eat it myself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,FALSE,online,online,9:49,4/19/20,Yes,"Website (if so, which website?)",,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,FALSE,online,online,9:34,5/14/20,Yes,"Flyer or Poster (if so, where?)",,NHC health department ,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,FALSE,WIC,WIC,9am,11/8/20,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3944,TRUE,WIC,WIC,TEST,2/24/20,Yes,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,TRUE,WIC,WIC,,,Yes,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,Catch and release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4648,TRUE,WIC,WIC,11:30,2/24/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Not sure, smaller fish, blue crab",Yes,0,1 to 3,About 2 portions,1-3 meals,,,"Fried,Baked",,"Remove scales,Remove head,Remove fish organs",,"Tail,Back Meat,Tail Meat,Abdomen Meat,Belly Meat,Fish Organs",No,,,,,,,,,,,The clinic,Yes,Yes,No,,Brother does fishing,Health Clinic,,,,Other ,Interesting,,,,Brochures less useful,,,,,,,,,,,,,,,,,,,,,21-29,Female,Associate degree,English,Nope that’s it
931,FALSE,WIC,WIC,11:30,3/2/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690680,FALSE,WIC,WIC,Test,2/24/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,TRUE,WIC,WIC,12:14,2/24/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,Yes,4 to 6,1 to 3,About 1 portion,1-3 meals,,,Fried,,"Remove scales,Remove fish organs",,"Back Meat,Tail Meat,Abdomen Meat,Belly Meat,Fish Organs,Head",Yes,Que no va haber pescaditos,,"Radio ,News ,Internet ,Signs and Posters ",,,,,,,,Internet,Yes,Yes,No,,Different fish,Health Clinic,,,,Some fish may have more contaminants than others,,,,,Traducir,,,,,,,,Probably will do,Probably will do,Probably will do,Probably will do,Probably not do,Definitely not do,,,,,,Asado si,Porque,21-29,Female,Less than high school degree,Español ,No
