Duration (secs),finished,source,location,time,date,agrees to participate,online survey referral,FREE FORM website referral,FREE FORM poster referral,FREE FORM other referral,fam_eat_fish,resp_eat_fish,eats Flathead Catfish,eats Bowfin (Blackfish),eats Blue Catfish,eats Channel Catfish,eats White Catfish,eats American Shad,eats Bluegill,eats Redbreast Sunfish,eats White Crappie,eats Striped Bass,eats Carp,eats Black Crappie,eats Warmouth,eats Green Sunfish,eats Largemouth Bass,eats Redear Sunfish,eats Hickory Shad,FREE FORM other fish,shares fish with others,number of people <15 ,number of fem 15-44,portions in a meal,meals per month,fish use other than eating,FREE FORM other use,cooking methods,FREE FORM cooking,preparation methods,FREE FORM preparation,parts eaten,pollution concerns,FREE FORM pollution concerns,FREE FORM no pollution concerns,sources of information,FREE FORM bait and tackle shops,FREE FORM news sources,FREE FORM internet sources,FREE FORM schools,FREE FORM government sources,FREE FORM sign sources,FREE FORM other sources,FREE FORM best sources,seen fish advisories,fish advisories easy to understand,fish advisories affect decision,FREE FORM affected decision,FREE FORM did not affect decision,health information sources,FREE FORM internet health sources,FREE FORM other health sources,FREE FORM fishing locations,wallet card takeaway,FREE FORM other takeaway,wallet card useful,FREE FORM wallet card useful,FREE FORM wallet card not useful,FREE FORM improve wallet card,can fillet,magnet main message,FREE FORM other takeaway,magnet useful,FREE FORM magnet useful,FREE FORM magnet not useful,FREE FORM improve magnet,would eat fewer polluted fish,would eat more lower pollution fish,would fillet fish,would buy fish from market,would grill or bake rather than fry,would stop eating fish,FREE FORM other risk reduction option,FREE FORM eat less polluted fish,FREE FORM eat more fish with lower pollution,FREE FORM fillet fish,FREE FORM grocery store fish,FREE FORM other cooking methods,FREE FORM stop eating fish,age,gender,educ,language,FREE FORM last comments
116,TRUE,intercept,Lock and dam,4:44,11/8/20,Yes,,,,,Yes,Yes,On,Off,On,On,On,On,On,On,Off,On,Off,Off,Off,Off,On,Off,On,,Yes,0,1 to 3,About 1 portion,4-6 meals,Catch and release,,"Grilled,Fried,Baked,Steamed,Smoked",,"Remove scales,Remove fat,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat,Abdomen Meat",Yes,Plastic and waste goes in.,,Other ,,,,,,,I see it,Through talking to other fishers,Yes,Yes,No,,Do my thing,"Health Clinic,Family/Friends",,,,Other ,Shrimps not a fish. Humans are the cause of the contamination ,,,,Distinguish more between salt fresh and both.,Yes,,,,,,,Definitely not do,Probably not do,Definitely will do,Definitely not do,Definitely not do,Definitely not do,Deep fry the fish to kill bacteria and get rid of contaminant ,,,,Trust myself more than grocery stores ,,,21-29,Male,"High school diploma, or equivalent (for example, GED)",English,You can see the pollution especially plástic and it’s impact on wildlife
161,TRUE,intercept,"Lock and da,",3:33,11/9/20,Yes,,,,,Yes,Yes,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,Yes,0,0,About 2 portions,1-3 meals,Other,Share an old couple,Fried,,"Remove scales,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Tail,Back Meat,Abdomen Meat,Belly Meat",No,,"Close to Wilmington, he’d be concerned (below the international paper plant)",Other people that are fishing,,,,,,,,,Yes,No,No,,,Other,,Stores or someone who works at international paper,Resize map,Pregnant women and women between age 15-44 should not eat fish that may have mercury,,Yes,,,,Yes,,,,,,,Probably will do,Definitely not do,Definitely will do,Probably will do,Probably will do,Probably will do,,,,,,,If it got extreme enough. Feels safe here above chem plant,40-49,Male,"High school diploma, or equivalent (for example, GED)",English,In army
176,TRUE,intercept,Carolina beach SP,12:00,11/9/20,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,TRUE,intercept,river road,4:00,11/8/20,Yes,,,,,Yes,Yes,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"blue fish, black drum",Yes,1 to 3,1 to 3,About 2 portions,1-3 meals,Catch and release,,"Fried,Baked",,Remove fish organs,,"Back Meat,Tail Meat,Abdomen Meat",Yes,pollution in river gets him worried,,"News ,Internet ",,,,,,,,,Yes,Yes,Yes,,,Health Clinic,,,,"Some fish may have more contaminants than others,Some fish are safer to eat than others,Other ",motto. Two different messages . To eat and to catch,No,,not sure,,Yes,,,,,,,Definitely not do,Definitely not do,Neutral,Probably will do,Probably will do,Definitely not do,,,,,,,good and reliable source of food,30-39,Male,Bachelor degree,english,
119,TRUE,intercept,Princess Place,13:00,1/26/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Black drum, red drum, speckled trout",Yes,0,0,About 2 portions,1-3 meals,Other,Share fish with neighbors ,"Grilled,Fried",,Fillet (only meat with no fat skin or bones),,"Back Meat,Tail Meat,Abdomen Meat",Yes,Littering at fishing spots and water ,,Family or Friends,,,,,,,,Tackle shops,Yes,Yes,No,,Picky eater ,"Health Clinic,Family/Friends",,,"Princess Place, Carolina beach st park, snows cut ","Some fish may have more contaminants than others,Some fish are safer to eat than others,Other ",Got Tv news about fish contaminants ,Yes,Easy to remember content,,,Yes,,,,,,,Definitely will do,Definitely will do,Definitely will do,Probably will do,Definitely will do,Probably will do,,,,,,,,30-39,Male,"Some college, no degree",English,
148,TRUE,intercept,Snows cut,10:44,1/20/20,Yes,,,,,Yes,Yes,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Red drum,Yes,0,1 to 3,About 2 portions,More than 9 meals,Catch and release,,"Fried,Baked",,"Remove scales,Remove fat,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,"Back Meat,Tail Meat,Abdomen Meat,Belly Meat",Yes,"Don’t know what’s in water. Gasoline, genex",,Other ,,,,,,,Fisherman’s post. Distributed in bait shops and restaurants in the summer,,No,,,,,,,,,"Some fish may have more contaminants than others,Pregnant women and women between age 15-44 should not eat fish that may have mercury",,No,,If they’re gonna catch fish they’ll eat them,Add size limits and have it responsive to what you can keep,Yes,,,,,,,Probably will do,Probably will do,Neutral,Probably not do,Probably will do,Definitely not do,,,,,,,If the fish are here it free food,30-39,Male,"Some college, no degree",English,Good luck
230,TRUE,intercept,Snows cut,5:23,1/28/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,On,Off,,Yes,4 to 6,0,About 1 portion,1-3 meals,,,Fried,,Remove scales,,"Tail,Back Meat,Tail Meat,Abdomen Meat,Belly Meat,Fish Organs,Head",Yes,Que los peces están muriendo,,News ,,Channel 6,,,,,,No idea,No,,,,,,,,,Some fish may have more contaminants than others,,Yes,,,Cual no comer,No,Fish contaminants are stored in their fat,,Yes. Why?,,,Ya está bien,Probably will do,Probably will do,Probably not do,Probably will do,Probably will do,Probably not do,,,,,,,Hay que comer,30-39,Male,"High school diploma, or equivalent (for example, GED)",Español ,Compartir más 
28,TRUE,intercept,Snows cut,3:23,12/11/20,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Chipre black and white, black drum, red drum",Yes,0,1 to 3,About 3 portions,More than 9 meals,"Catch and release,Other",Compartir,"Stewed,Grilled,Fried,Other (explain):","Ceviche con limon, parrillar con limon, estofado ","Remove scales,Remove head,Remove fish organs,Other (explain):","Limon para evitar bacteria, ","Tail,Back Meat,Tail Meat,Abdomen Meat,Belly Meat,Fish Organs,Head",Yes,"Bacteria, salmonela, but ceviche helps",,News ,,Local channel 26.1. Local tv not cable,,,,,,,No,,,,,,,,,Other ,,Yes,,,Jaiba,Yes,,,,,,,Probably not do,Probably will do,Probably will do,Probably not do,Probably not do,,,"Fish is fish, ",,,Muy caro,Freír es facil,"Es gratis, una manera de relajar",50-59,Male,Less than high school degree,"Español, but his kids speak English ",Me encanto la pesca
69,TRUE,intercept,Belville,,,Yes,,,,,Yes,Yes,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Speckled trout, gar, black drum",Yes,1 to 3,1 to 3,About 1 portion,1-3 meals,Catch and release,,"Baked,Other (explain):",Cast iron skillet,"Remove scales,Remove fat,Remove head,Remove skin,Remove fish organs,Fillet (only meat with no fat skin or bones)",,Back Meat,Yes,Mercury and lead . Fish eating trash and parasites. ,,Internet ,,,Tide table website,,,,,Social media. Bait shops. Word of mouth. Academy. ,Yes,Yes,Yes,Taking no chances. ,,Health Clinic,,,,Some fish are safer to eat than others,,Yes,Yes. Add this to license purchases. ,,Add it to license purchases. ,Yes,,,,,,,Definitely will do,Definitely will do,Definitely will do,Neutral,Neutral,Probably not do,,,,,,,,30-39,Male,"Some college, no degree",English; sometimes korean,
170,TRUE,intercept,River road park,2:29,12/10/20,Yes,,,,,Yes,Yes,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Black drum, red drum, sheepshead, speckled trout, whiting",Yes,1 to 3,1 to 3,About 2 portions,4-6 meals,Catch and release,,"Fried,Steamed,Other (explain):",Broil,"Remove scales,Remove head,Remove fish organs",,"Back Meat,Tail Meat,Abdomen Meat,Belly Meat",Yes,Contamination. Dumping in water. Not just trash,,"Other people that are fishing,News ,Internet ,Other ",,,,,,,Magazines,Bait shops. ,Yes,Yes,Yes,If posted yes,,Health Clinic,,,Belville ,"Some fish may have more contaminants than others,Some fish are safer to eat than others,Pregnant women and women between age 15-44 should not eat fish that may have mercury",,Yes,,,,Yes,,,,,,,Neutral,Definitely will do,Probably will do,Probably will do,Definitely will do,Probably will do,,,,,,,,60 or older,Female,Associate degree,English ,Fishing is good for you. Relaxing and stress free. 
